city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Tiruppur,Male,DEF Matriculation School Tiruppur,Private CBSE,MBC,Christian,Management,Day Scholar,Friend Family Referral,The campus environment seems conducive for focused technical studies.,Counselling,Start Own Business,170,Local,Below Average,Premium,Close,Referral,Neutral
Salem,Male,Mettur HSS,Private Matriculation,SC,Hindu,Management,Day Scholar,Campus Visit,The management fee was a stretch but the placement records justify the investment.,Interest,Higher Studies Masters,186,Local,Average,Middle,Close,Other,Neutral
Tiruppur,Female,Dharapuram HSS,Private Matriculation,MBC,Christian,Management,Hostel,Campus Visit,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Start Own Business,177,Local,Below Average,Middle,Close,Other,Positive
Erode,Male,Little Angels School,Private CBSE,BC,Hindu,Government Counselling,Hostel,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,188,Local,Average,Mixed,Very Close,Digital,Positive
Thanjavur,Male,Government HSS Thanjavur,Government,OC,Christian,Government Counselling,Hostel,Education Fair,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Higher Studies Masters,194,Regional,High Performer,Budget,Distant,Traditional,Positive
Coimbatore,Male,Race Course HSS,Private CBSE,BC,Hindu,Management,Day Scholar,School Counselor,We heard about BIT through school counselor and the reviews were positive.,Interest,High Placement,177,Local,Below Average,Premium,Close,Referral,Neutral
Coimbatore,Male,Sowripalayam HSS,Private CBSE,OC,Hindu,Management,Day Scholar,School Counselor,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,191,Local,High Performer,Premium,Close,Referral,Positive
Pondicherry,Male,ABC School Pondicherry,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,School Counselor,"Being close to home, day scholar option works perfectly for our family.",Counselling,High Placement,182,Regional,Average,Mixed,Distant,Referral,Positive
Namakkal,Male,Komarapalayam HSS,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Education Fair,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Higher Studies Masters,197,Regional,High Performer,Mixed,Distant,Traditional,Positive
Salem,Female,Sacred Heart Salem,Private CBSE,SC,Christian,Management,Day Scholar,Education Fair,The campus environment seems conducive for focused technical studies.,Interest,Become an Entrepreneur,189,Local,Average,Premium,Close,Traditional,Neutral
Dindigul,Male,ABC School Dindigul,Private Matriculation,BC,Hindu,Management,Hostel,School Counselor,We were initially worried about hostel life but the warden system reassured us.,Interest,High Placement,184,Regional,Average,Middle,Distant,Referral,Concerned
Salem,Male,PQR International Salem,Private CBSE,MBC,Christian,Management,Day Scholar,Campus Visit,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,176,Local,Below Average,Premium,Close,Other,Positive
Madurai,Male,ABC School Madurai,Private CBSE,BC,Hindu,Government Counselling,Hostel,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,185,Regional,Average,Mixed,Distant,Digital,Neutral
Salem,Male,St. Josephs Salem,Private Matriculation,BCM,Muslim,Government Counselling,Day Scholar,Education Fair,No hostel expenses and we can monitor the studies closely from home.,Counselling,High Placement,191,Local,High Performer,Middle,Close,Traditional,Neutral
Namakkal,Male,Municipal HSS Namakkal,Government,BCM,Muslim,Government Counselling,Day Scholar,Alumni Reference,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,197,Regional,High Performer,Budget,Distant,Other,Positive
Coimbatore,Male,Sri Ramakrishna Mission School,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Social Media Ad,We heard about BIT through social media ad and the reviews were positive.,Counselling,Higher Studies Masters,189,Local,Average,Mixed,Close,Digital,Neutral
Erode,Male,Sri Ramakrishna Mission School Erode,Private CBSE,BCM,Muslim,Government Counselling,Day Scholar,Social Media Ad,"Being close to home, day scholar option works perfectly for our family.",Counselling,High Placement,183,Local,Average,Mixed,Very Close,Digital,Positive
Karur,Female,Karur CBSE School,Private CBSE,BCM,Muslim,Management,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,176,Local,Below Average,Premium,Distant,Digital,Positive
Dindigul,Male,Municipal HSS Dindigul,Government,BC,Hindu,Management,Day Scholar,Friend Family Referral,The day scholar option works well for our family situation.,Counselling,Become an Entrepreneur,187,Regional,Average,Budget,Distant,Referral,Neutral
Salem,Male,Periyar University HSS,Private CBSE,SC,Hindu,Management,Day Scholar,Friend Family Referral,No hostel expenses and we can monitor the studies closely from home.,Interest,Start Own Business,179,Local,Below Average,Premium,Close,Referral,Neutral
Salem,Female,Government HSS Salem,Government,SC,Christian,Government Counselling,Day Scholar,Campus Visit,Erode location provides good balance of facilities without big city distractions.,Interest,Government Job,193,Local,High Performer,Budget,Close,Other,Positive
Coimbatore,Male,Sri Krishna HSS,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Counselling,Higher Studies Masters,193,Local,High Performer,Mixed,Close,Other,Neutral
Tiruppur,Male,Palladam HSS,Private CBSE,MBC,Christian,Management,Day Scholar,College Website,The management fee was a stretch but the placement records justify the investment.,Interest,Become an Entrepreneur,180,Local,Below Average,Premium,Close,Digital,Neutral
Karur,Female,Karur CBSE School,Private CBSE,BC,Christian,Management,Hostel,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,191,Local,High Performer,Premium,Distant,Traditional,Neutral
Karur,Male,Karur CBSE School,Private CBSE,SC,Hindu,Government Counselling,Hostel,Education Fair,Erode location provides good balance of facilities without big city distractions.,Counselling,Government Job,192,Local,High Performer,Mixed,Distant,Traditional,Positive
Coimbatore,Male,Government HSS RS Puram,Government,BC,Christian,Government Counselling,Day Scholar,Social Media Ad,No hostel expenses and we can monitor the studies closely from home.,Counselling,Government Job,200,Local,High Performer,Budget,Close,Digital,Neutral
Salem,Male,Government HSS Salem,Government,BC,Hindu,Government Counselling,Hostel,Alumni Reference,Good value for money considering the quality of engineering programs offered.,Counselling,High Placement,194,Local,High Performer,Budget,Close,Other,Positive
Salem,Female,Montfort HSS Salem,Private CBSE,MBC,Christian,Management,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,184,Local,Average,Premium,Close,Digital,Positive
Coimbatore,Male,Sowripalayam HSS,Private CBSE,MBC,Hindu,Management,Day Scholar,Alumni Reference,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,176,Local,Below Average,Premium,Close,Other,Positive
Karur,Female,GHI Matriculation Karur,Private CBSE,BCM,Muslim,Management,Day Scholar,Campus Visit,We heard about BIT through campus visit and the reviews were positive.,Interest,Higher Studies Masters,184,Local,Average,Premium,Distant,Other,Neutral
Namakkal,Female,Rasipuram HSS,Private CBSE,BCM,Muslim,Management,Hostel,College Website,The hostel option works well for our family situation.,Interest,Become an Entrepreneur,183,Regional,Average,Premium,Distant,Digital,Neutral
Karur,Male,ABC School Karur,Private CBSE,OC,Christian,Management,Day Scholar,Google Search,The convenience of staying at home while getting quality education is ideal.,Interest,Higher Studies Masters,195,Local,High Performer,Premium,Distant,Digital,Neutral
Erode,Female,Periyar HSS Erode,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Campus Visit,The campus environment seems conducive for focused technical studies.,Counselling,High Placement,181,Local,Average,Mixed,Very Close,Other,Neutral
Kanchipuram,Male,Municipal HSS Kanchipuram,Government,BC,Hindu,Government Counselling,Day Scholar,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,High Placement,186,Regional,Average,Budget,Distant,Referral,Positive
Salem,Male,Municipal HSS Salem,Government,SC,Christian,Government Counselling,Day Scholar,Education Fair,"Being close to home, day scholar option works perfectly for our family.",Counselling,Higher Studies Masters,188,Local,Average,Budget,Close,Traditional,Positive
Karur,Male,ABC School Karur,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,High Placement,184,Local,Average,Mixed,Distant,Digital,Neutral
Erode,Male,PSG Public Schools Erode,Private CBSE,SC,Christian,Management,Day Scholar,Social Media Ad,Good value for money considering the quality of engineering programs offered.,Interest,High Placement,170,Local,Below Average,Premium,Very Close,Digital,Positive
Vellore,Female,Vellore Matriculation School,Private Matriculation,BCM,Muslim,Government Counselling,Hostel,TV Advertisement,We were initially worried about hostel life but the warden system reassured us.,Counselling,Become an Entrepreneur,188,Regional,Average,Middle,Distant,Traditional,Concerned
Erode,Female,Municipal HSS Erode,Government,MBC,Christian,Government Counselling,Hostel,Friend Family Referral,The campus environment seems conducive for focused technical studies.,Interest,Become an Entrepreneur,185,Local,Average,Budget,Very Close,Referral,Neutral
Dindigul,Female,Dindigul Public School,Private CBSE,SC,Hindu,Management,Hostel,Alumni Reference,Alumni working in good companies gave positive feedback about the college.,Interest,Become an Entrepreneur,189,Regional,Average,Premium,Distant,Other,Positive
Thanjavur,Male,Municipal HSS Thanjavur,Government,MBC,Christian,Government Counselling,Hostel,Google Search,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,Government Job,192,Regional,High Performer,Budget,Distant,Digital,Positive
Trichy,Male,GHI Matriculation Trichy,Private CBSE,BC,Hindu,Government Counselling,Hostel,Google Search,Alumni working in good companies gave positive feedback about the college.,Counselling,High Placement,191,Regional,High Performer,Mixed,Distant,Digital,Positive
Salem,Male,Periyar University HSS,Private CBSE,OC,Hindu,Government Counselling,Hostel,College Website,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,185,Local,Average,Mixed,Close,Digital,Neutral
Erode,Male,Little Angels School,Private Matriculation,MBC,Hindu,Management,Hostel,Social Media Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Become an Entrepreneur,184,Local,Average,Middle,Very Close,Digital,Positive
Vellore,Female,DEF HSS Vellore,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,Alumni working in good companies gave positive feedback about the college.,Counselling,Government Job,194,Regional,High Performer,Middle,Distant,Other,Positive
Erode,Female,Government HSS Erode,Government,BC,Hindu,Management,Hostel,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Higher Studies Masters,189,Local,Average,Budget,Very Close,Traditional,Neutral
Tiruppur,Female,XYZ HSS Tiruppur,Private CBSE,OC,Christian,Management,Day Scholar,College Website,The management fee was a stretch but the placement records justify the investment.,Interest,Become an Entrepreneur,174,Local,Below Average,Premium,Close,Digital,Neutral
Trichy,Female,Trichy Matriculation School,Private CBSE,BC,Hindu,Management,Hostel,Alumni Reference,The hostel option works well for our family situation.,Interest,Start Own Business,174,Regional,Below Average,Premium,Distant,Other,Neutral
Salem,Male,MNO Matriculation School Salem,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,College Website,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,195,Local,High Performer,Mixed,Close,Digital,Positive
Tiruppur,Female,Kumaran Schools,Private CBSE,MBC,Hindu,Government Counselling,Hostel,School Counselor,The campus environment seems safe and conducive for focused studies.,Interest,High Placement,182,Local,Average,Mixed,Close,Referral,Neutral
Karur,Male,Karur Public School,Private Matriculation,MBC,Hindu,Management,Day Scholar,Social Media Ad,Alumni working in good companies gave positive feedback about the college.,Interest,High Placement,182,Local,Average,Middle,Distant,Digital,Positive
Namakkal,Female,Municipal HSS Namakkal,Government,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,We heard about BIT through social media ad and the reviews were positive.,Counselling,Higher Studies Masters,196,Regional,High Performer,Budget,Distant,Digital,Neutral
Pondicherry,Male,Municipal HSS Pondicherry,Government,BC,Hindu,Government Counselling,Hostel,Google Search,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,Higher Studies Masters,189,Regional,Average,Budget,Distant,Digital,Positive
Erode,Female,Erode Public School,Private Matriculation,OC,Christian,Management,Day Scholar,College Website,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,186,Local,Average,Middle,Very Close,Digital,Positive
Coimbatore,Male,CMPS School,Private Matriculation,BC,Hindu,Management,Hostel,Education Fair,Alumni working in good companies gave positive feedback about the college.,Interest,Higher Studies Masters,190,Local,Average,Middle,Close,Traditional,Positive
Erode,Male,ABC Matriculation School Erode,Private CBSE,SC,Christian,Management,Day Scholar,Social Media Ad,No hostel expenses and we can monitor the studies closely from home.,Interest,High Placement,175,Local,Below Average,Premium,Very Close,Digital,Neutral
Erode,Male,Municipal HSS Erode,Government,SC,Christian,Government Counselling,Hostel,Education Fair,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,192,Local,High Performer,Budget,Very Close,Traditional,Positive
Vellore,Female,Government HSS Vellore,Government,BC,Hindu,Government Counselling,Hostel,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,High Placement,189,Regional,Average,Budget,Distant,Digital,Neutral
Pondicherry,Female,GHI Matriculation Pondicherry,Private Matriculation,BCM,Muslim,Management,Day Scholar,Campus Visit,"Being close to home, day scholar option works perfectly for our family.",Counselling,High Placement,174,Regional,Below Average,Middle,Distant,Other,Positive
Salem,Male,Mettur HSS,Private Matriculation,BCM,Muslim,Management,Day Scholar,College Website,We heard about BIT through college website and the reviews were positive.,Interest,High Placement,178,Local,Below Average,Middle,Close,Digital,Neutral
Coimbatore,Male,DAV School Coimbatore,Private Matriculation,OC,Christian,Management,Day Scholar,College Website,Alumni working in good companies gave positive feedback about the college.,Interest,Become an Entrepreneur,183,Local,Average,Middle,Close,Digital,Positive
Coimbatore,Female,Bharathi Park HSS,Private Matriculation,MBC,Hindu,Government Counselling,Hostel,Social Media Ad,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,Higher Studies Masters,181,Local,Average,Middle,Close,Digital,Positive
Madurai,Female,Sri Meenakshi HSS,Private CBSE,MBC,Christian,Management,Hostel,TV Advertisement,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,180,Regional,Below Average,Premium,Distant,Traditional,Positive
Kanchipuram,Female,Kanchipuram Matriculation School,Private Matriculation,BC,Hindu,Management,Hostel,Campus Visit,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Government Job,194,Regional,High Performer,Middle,Distant,Other,Positive
Erode,Female,Bharathi Vidyalaya Erode,Private Matriculation,MBC,Hindu,Management,Hostel,Campus Visit,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,Become an Entrepreneur,187,Local,Average,Middle,Very Close,Other,Positive
Karur,Male,ABC School Karur,Private Matriculation,SC,Christian,Management,Day Scholar,TV Advertisement,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,182,Local,Average,Middle,Distant,Traditional,Positive
Dindigul,Male,Dindigul CBSE School,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,High Placement,183,Regional,Average,Mixed,Distant,Digital,Neutral
Coimbatore,Female,Race Course HSS,Private Matriculation,MBC,Christian,Management,Day Scholar,Education Fair,No hostel expenses and we can monitor the studies closely from home.,Interest,High Placement,188,Local,Average,Middle,Close,Traditional,Neutral
Dindigul,Female,Municipal HSS Dindigul,Government,OC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Higher Studies Masters,200,Regional,High Performer,Budget,Distant,Other,Positive
Thanjavur,Male,Government HSS Thanjavur,Government,MBC,Hindu,Government Counselling,Hostel,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Higher Studies Masters,185,Regional,Average,Budget,Distant,Digital,Neutral
Karur,Male,Karur Matriculation School,Private CBSE,SC,Hindu,Government Counselling,Hostel,Google Search,We were initially worried about hostel life but the warden system reassured us.,Counselling,High Placement,183,Local,Average,Mixed,Distant,Digital,Concerned
Erode,Male,St. Josephs HSS Erode,Private CBSE,MBC,Hindu,Management,Hostel,Google Search,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Become an Entrepreneur,177,Local,Below Average,Premium,Very Close,Digital,Neutral
Tiruppur,Female,Kumaran Schools,Private Matriculation,MBC,Christian,Management,Hostel,Campus Visit,The campus environment seems conducive for focused technical studies.,Interest,Government Job,193,Local,High Performer,Middle,Close,Other,Neutral
Coimbatore,Male,Maharishi Vidya Mandir,Private Matriculation,OC,Hindu,Management,Hostel,Social Media Ad,We were initially worried about hostel life but the warden system reassured us.,Interest,Higher Studies Masters,195,Local,High Performer,Middle,Close,Digital,Concerned
Vellore,Female,Vellore Public School,Private Matriculation,OC,Christian,Government Counselling,Hostel,TV Advertisement,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,189,Regional,Average,Middle,Distant,Traditional,Neutral
Salem,Male,JKL CBSE School Salem,Private CBSE,MBC,Hindu,Management,Day Scholar,Google Search,The campus environment seems conducive for focused technical studies.,Interest,High Placement,176,Local,Below Average,Premium,Close,Digital,Neutral
Erode,Female,Sacred Heart HSS Erode,Private CBSE,OC,Christian,Management,Hostel,School Counselor,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,181,Local,Average,Premium,Very Close,Referral,Positive
Karur,Male,Karur Public School,Private Matriculation,SC,Christian,Government Counselling,Hostel,College Website,The hostel option works well for our family situation.,Counselling,Higher Studies Masters,196,Local,High Performer,Middle,Distant,Digital,Neutral
Erode,Male,Erode Public School,Private Matriculation,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,We heard about BIT through social media ad and the reviews were positive.,Counselling,Higher Studies Masters,188,Local,Average,Middle,Very Close,Digital,Neutral
Erode,Male,Erode Public School,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Education Fair,The convenience of staying at home while getting quality education is ideal.,Interest,Higher Studies Masters,194,Local,High Performer,Mixed,Very Close,Traditional,Neutral
Erode,Female,Periyar HSS Erode,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,College Website,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,187,Local,Average,Mixed,Very Close,Digital,Positive
Salem,Female,Sankari HSS,Private CBSE,BCM,Muslim,Management,Hostel,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Become an Entrepreneur,173,Local,Below Average,Premium,Close,Digital,Positive
Trichy,Female,Trichy Public School,Private CBSE,OC,Christian,Management,Hostel,School Counselor,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,High Placement,182,Regional,Average,Premium,Distant,Referral,Positive
Karur,Female,Karur Public School,Private Matriculation,OC,Hindu,Government Counselling,Day Scholar,Education Fair,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,183,Local,Average,Middle,Distant,Traditional,Positive
Kanchipuram,Male,Kanchipuram Public School,Private CBSE,BC,Hindu,Management,Hostel,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Become an Entrepreneur,184,Regional,Average,Premium,Distant,Digital,Neutral
Madurai,Male,American College HSS,Private CBSE,BCM,Muslim,Government Counselling,Hostel,Social Media Ad,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,Government Job,196,Regional,High Performer,Mixed,Distant,Digital,Positive
Namakkal,Female,Sri Vidya Mandir Namakkal,Private Matriculation,MBC,Hindu,Management,Day Scholar,Education Fair,Good value for money considering the quality of engineering programs offered.,Interest,Start Own Business,179,Regional,Below Average,Middle,Distant,Traditional,Positive
Tiruppur,Female,ABC School Tiruppur,Private Matriculation,OC,Christian,Government Counselling,Hostel,Alumni Reference,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,197,Local,High Performer,Middle,Close,Other,Positive
Tiruppur,Male,DEF Matriculation School Tiruppur,Private Matriculation,MBC,Hindu,Management,Hostel,Friend Family Referral,We were initially worried about hostel life but the warden system reassured us.,Interest,Become an Entrepreneur,177,Local,Below Average,Middle,Close,Referral,Concerned
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,School Counselor,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,182,Local,Average,Mixed,Close,Referral,Positive
Erode,Female,Erode Public School,Private CBSE,OC,Hindu,Management,Day Scholar,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,190,Local,Average,Premium,Very Close,Digital,Positive
Erode,Female,Municipal HSS Erode,Government,OC,Hindu,Management,Hostel,Social Media Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Become an Entrepreneur,177,Local,Below Average,Budget,Very Close,Digital,Positive
Coimbatore,Female,PSG Public Schools,Private Matriculation,SC,Hindu,Government Counselling,Day Scholar,Google Search,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Become an Entrepreneur,189,Local,Average,Middle,Close,Digital,Neutral
Erode,Male,GHI International School Erode,Private CBSE,OC,Hindu,Management,Day Scholar,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Become an Entrepreneur,184,Local,Average,Premium,Very Close,Digital,Neutral
Erode,Male,Kongu Arts HSS,Private Matriculation,MBC,Christian,Government Counselling,Day Scholar,College Website,"Being close to home, day scholar option works perfectly for our family.",Counselling,Higher Studies Masters,198,Local,High Performer,Middle,Very Close,Digital,Positive
Tiruppur,Female,DEF Matriculation School Tiruppur,Private Matriculation,OC,Hindu,Management,Hostel,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,191,Local,High Performer,Middle,Close,Digital,Positive
Coimbatore,Female,Sowripalayam HSS,Private Matriculation,BCM,Muslim,Management,Day Scholar,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Interest,High Placement,182,Local,Average,Middle,Close,Digital,Positive
Thanjavur,Female,ABC School Thanjavur,Private CBSE,MBC,Christian,Management,Hostel,Education Fair,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,182,Regional,Average,Premium,Distant,Traditional,Positive
Erode,Male,Anna HSS Erode,Private Matriculation,MBC,Christian,Management,Day Scholar,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,High Placement,182,Local,Average,Middle,Very Close,Digital,Neutral
Coimbatore,Male,PSG Public Schools,Private CBSE,BC,Hindu,Management,Day Scholar,Google Search,Good value for money considering the quality of engineering programs offered.,Interest,High Placement,184,Local,Average,Premium,Close,Digital,Positive
Coimbatore,Male,Maharishi Vidya Mandir,Private Matriculation,MBC,Hindu,Management,Hostel,Google Search,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Start Own Business,176,Local,Below Average,Middle,Close,Digital,Positive
Erode,Female,Periyar HSS Erode,Private Matriculation,BC,Hindu,Management,Hostel,Friend Family Referral,The hostel option works well for our family situation.,Interest,High Placement,180,Local,Below Average,Middle,Very Close,Referral,Neutral
Karur,Female,DEF HSS Karur,Private Matriculation,MBC,Hindu,Government Counselling,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,High Placement,195,Local,High Performer,Middle,Distant,Referral,Neutral
Dindigul,Female,GHI Matriculation Dindigul,Private CBSE,MBC,Hindu,Management,Hostel,Campus Visit,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,170,Regional,Below Average,Premium,Distant,Other,Positive
Salem,Male,JKL CBSE School Salem,Private CBSE,SC,Christian,Management,Day Scholar,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,High Placement,176,Local,Below Average,Premium,Close,Referral,Positive
Karur,Female,Municipal HSS Karur,Government,BCM,Muslim,Government Counselling,Hostel,School Counselor,Good value for money considering the quality of engineering programs offered.,Counselling,High Placement,196,Local,High Performer,Budget,Distant,Referral,Positive
Trichy,Female,Trichy Public School,Private Matriculation,OC,Christian,Management,Hostel,Campus Visit,The management fee was a stretch but the placement records justify the investment.,Counselling,High Placement,175,Regional,Below Average,Middle,Distant,Other,Neutral
Tiruppur,Female,Udumalpet HSS,Private CBSE,BC,Hindu,Management,Day Scholar,Newspaper Ad,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,185,Local,Average,Premium,Close,Other,Positive
Namakkal,Male,Tiruchengode HSS,Private Matriculation,MBC,Christian,Management,Day Scholar,Social Media Ad,The day scholar option works well for our family situation.,Interest,Start Own Business,173,Regional,Below Average,Middle,Distant,Digital,Neutral
Salem,Female,Sona HSS Salem,Private Matriculation,OC,Christian,Management,Day Scholar,Google Search,We decided to invest in management quota considering the ROI through placements.,Interest,Become an Entrepreneur,170,Local,Below Average,Middle,Close,Digital,Neutral
Madurai,Male,ABC School Madurai,Private CBSE,SC,Hindu,Management,Hostel,TV Advertisement,The hostel option works well for our family situation.,Interest,Become an Entrepreneur,173,Regional,Below Average,Premium,Distant,Traditional,Neutral
Erode,Male,Erode Public School,Private Matriculation,BC,Christian,Management,Day Scholar,Education Fair,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Start Own Business,171,Local,Below Average,Middle,Very Close,Traditional,Positive
Dindigul,Male,Dindigul Matriculation School,Private CBSE,BC,Hindu,Management,Hostel,Campus Visit,The fees were high but the infrastructure and faculty quality convinced us.,Counselling,Higher Studies Masters,191,Regional,High Performer,Premium,Distant,Other,Positive
Karur,Male,Karur Matriculation School,Private CBSE,OC,Christian,Management,Day Scholar,Google Search,We heard about BIT through google search and the reviews were positive.,Interest,Higher Studies Masters,184,Local,Average,Premium,Distant,Digital,Neutral
Coimbatore,Female,Stanes HSS,Private CBSE,BC,Hindu,Management,Hostel,Education Fair,The hostel option works well for our family situation.,Interest,Become an Entrepreneur,178,Local,Below Average,Premium,Close,Traditional,Neutral
Erode,Male,DEF CBSE School Erode,Private CBSE,OC,Hindu,Government Counselling,Day Scholar,School Counselor,"Being close to home, day scholar option works perfectly for our family.",Interest,Higher Studies Masters,183,Local,Average,Mixed,Very Close,Referral,Positive
Erode,Male,Sri Ramakrishna Mission School Erode,Private CBSE,BC,Christian,Government Counselling,Day Scholar,Google Search,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,192,Local,High Performer,Mixed,Very Close,Digital,Positive
Erode,Male,Anna HSS Erode,Private CBSE,MBC,Hindu,Government Counselling,Hostel,Google Search,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,180,Local,Below Average,Mixed,Very Close,Digital,Neutral
Coimbatore,Female,Government HSS RS Puram,Government,OC,Christian,Management,Day Scholar,Social Media Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,189,Local,Average,Budget,Close,Digital,Positive
Cuddalore,Female,ABC School Cuddalore,Private Matriculation,MBC,Christian,Government Counselling,Hostel,Alumni Reference,We heard about BIT through alumni reference and the reviews were positive.,Counselling,Become an Entrepreneur,181,Regional,Average,Middle,Distant,Other,Neutral
Dindigul,Female,Dindigul Matriculation School,Private Matriculation,BC,Christian,Management,Hostel,Newspaper Ad,Good value for money considering the quality of engineering programs offered.,Interest,High Placement,179,Regional,Below Average,Middle,Distant,Other,Positive
Dindigul,Female,Dindigul Matriculation School,Private Matriculation,BCM,Muslim,Government Counselling,Hostel,Alumni Reference,The campus environment seems safe and conducive for focused studies.,Counselling,Higher Studies Masters,192,Regional,High Performer,Middle,Distant,Other,Neutral
Tiruppur,Female,St. Josephs HSS Tiruppur,Private Matriculation,BCM,Muslim,Management,Day Scholar,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,180,Local,Below Average,Middle,Close,Digital,Neutral
Erode,Male,Municipal HSS Erode,Government,BC,Hindu,Government Counselling,Hostel,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,186,Local,Average,Budget,Very Close,Digital,Positive
